ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
1.0,East,2.0,KENEMA,6.0,KENEMA TOWN,2.0,KONDEBOTIHUN,2.0,KONDEBOTIHUN KONDEBOTIHUN VILLAGE,NONGOWA,KONDEBOTIHUN,KENEMA TOWN_KONDEBOTIHUN,KONDEBOTIHUN,Kundorwahun,"Kunderwahun,Kundorwahun",-11.18295,8.03407,6,KONDEBOTIHUN,Kundorwahun,-11.1827798,8.0339082,6
1.0,East,2.0,KENEMA,6.0,KENEMA TOWN,3.0,KOYAGBEMA,3.0,KOYAGBEMA DAUDA TOWN,NONGOWA,DAUDA,KENEMA TOWN_KOYAGBEMA,DAUDA,Bauya,Bauya,-11.07267,7.94424,2,DAUDA,Guama,-11.0929281,8.0253498,3
2.0,North ,5.0,TONKOLILI,4.0,KHOLIFA MABANG,1.0,KOMRABAI,1.0,KOMRABAI MAMANSO KAFLA,KHOLIFA MABANG,MAMANSO KAFLA,KHOLIFA MABANG_KOMRABAI,MAMANSO KAFLA,Mamano,Mamano,-12.01832,8.56482,7,MAMANSO KAFLA,Mamanso Moi,-12.141234,8.5674052,5
2.0,North ,5.0,TONKOLILI,4.0,KHOLIFA MABANG,2.0,KUMRABAI,2.0,KOMRABAI SECTION KOMRABAI STATION,KHOLIFA MABANG,KOMRABAI  KOMRABAI STATION,KHOLIFA MABANG_KUMRABAI,KOMRABAI  KOMRABAI STATION,Kumrabai Matuko,Kumrabai Matuko,-12.10521,8.52256,14,KOMRABAI  KOMRABAI STATION,Kumrabai Mamila,-12.1,8.533333,14
2.0,North ,5.0,TONKOLILI,4.0,KHOLIFA MABANG,3.0,MARUNIA SAKIE,3.0,MARUNIA SAKIE MABAI,KHOLIFA MABANG,MABAI,KHOLIFA MABANG_MARUNIA SAKIE,MABAI,Maya,Maya,-12.23954,8.60018,2,MABAI,Mabang,-12.1733659,8.5653344,2
2.0,North ,5.0,TONKOLILI,4.0,KHOLIFA MABANG,3.0,MARUNIA SAKIE,4.0,MARUNIA SAKIE MATHINKA LOL,KHOLIFA MABANG,MATHINKA LOL,KHOLIFA MABANG_MARUNIA SAKIE,MATHINKA LOL,Matinka,Matinka,-12.15297,8.54739,5,MATHINKA LOL,Mathinka Bana,-12.1529828,8.5473946,4
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,1.0,MAKUMP,1.0,MAKUMP MALONE,KHOLIFA ROWALLA,MALONE,KHOLIFA ROWALA_MAKUMP,MALONE,Malon,Malon,-11.92234,8.66894,1,MALONE,Malon,-11.9219255,8.6699678,1
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,2.0,MAMUNTHA,2.0,MAMUNTHA MABORIE,KHOLIFA ROWALLA,MABORIE,KHOLIFA ROWALA_MAMUNTHA,MABORIE,Mabure,Mabure,-12.0689,8.651,2,MABORIE,Maberi,-11.8719534,8.6896463,2
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,2.0,MAMUNTHA,3.0,MAMUNTHA MAGBASS,KHOLIFA ROWALLA,MAGBASS,KHOLIFA ROWALA_MAMUNTHA,MAGBASS,Magbass,NA,-11.94333,8.71694,0,MAGBASS,Mabai,-11.8993065,8.6795033,3
2.0,North ,5.0,TONKOLILI,5.0,KHOLIFA ROWALA,2.0,MAMUNTHA,4.0,MAMUNTHA MAMUNTHA,KHOLIFA ROWALLA,MAMUNTHA,KHOLIFA ROWALA_MAMUNTHA,MAMUNTHA,Mamunta,NA,-12.01853,8.63338,1,MAMUNTHA,Mamunta,-12.0182326,8.6342738,1
