"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2675,202,"SLE","Sierra Leone",1,"Eastern","","","Province","Province"
2676,202,"SLE","Sierra Leone",2,"Northern","","","Province","Province"
2677,202,"SLE","Sierra Leone",3,"Southern","","","Province","Province"
2678,202,"SLE","Sierra Leone",4,"Western","","","Province","Province"
